path,size_bytes,last_modified,one_line_purpose,classification,reason
factory/operations/build-workflow.md,4307,2026-05-12T11:31:44.364Z,Factory build workflow.,KEEP,Current core build workflow source.
factory/operations/check-commands.md,743,2026-05-11T20:58:57.554Z,Local check command reference.,KEEP,Current local verification command reference.
factory/operations/factory-setup-log.md,665,2026-05-11T20:58:57.593Z,Historical factory setup log.,KEEP,Historical setup evidence; not a design source.
factory/operations/jarvis-reliability-and-self-healing.md,2824,2026-05-12T17:27:28.761Z,Jarvis reliability notes.,REWRITE,Concept valid but tied to current local Jarvis prototype.
factory/operations/moderator-learning-loop.md,3539,2026-05-12T14:59:06.437Z,Moderator learning loop policy.,KEEP,Current learning-loop policy source.
factory/operations/release-gates.md,3494,2026-05-11T20:23:44.723Z,Release gate policy.,KEEP,Current release gate policy source.
factory/operations/session-handoff-2026-05-12.md,9149,2026-05-12T16:21:31.454Z,Session pickup note.,KEEP,Only detailed session handoff currently present.
factory/operations/support-and-operations-baseline.md,652,2026-05-11T20:14:28.727Z,Support and operations baseline.,KEEP,Current support operations baseline.
factory/product/product-quality-standard.md,921,2026-05-11T20:14:28.725Z,Sellable product quality standard.,KEEP,Current sellable product quality standard.
factory/repo-structure.md,665,2026-05-11T20:14:28.743Z,Repository structure guidance.,REWRITE,Path references older BuildPod layout and needs current repo alignment.
factory/security/backup-and-recovery-policy.md,556,2026-05-11T20:14:28.721Z,Backup And Recovery Policy,KEEP,Current backup and recovery policy.
factory/security/data-classification.md,708,2026-05-11T20:14:28.722Z,Data Classification,KEEP,Current data classification source.
factory/security/dependency-security-policy.md,618,2026-05-11T20:14:28.720Z,Dependency Security Policy,KEEP,Current dependency security policy.
factory/security/git-github-policy.md,1748,2026-05-11T20:23:44.679Z,Git And GitHub Policy,KEEP,Current Git and GitHub safety policy.
factory/security/incident-response-lite.md,478,2026-05-11T20:14:28.722Z,Incident Response Lite,KEEP,Current lightweight incident response policy.
factory/security/local-ai-privacy-policy.md,406,2026-05-11T20:14:28.720Z,Local AI Privacy Policy,KEEP,Current local AI privacy boundary.
factory/security/permissions-and-access.md,2560,2026-05-11T20:23:44.634Z,Permissions And Access Policy,KEEP,Current permission and approval boundary source.
factory/security/product-security-checklist.md,663,2026-05-11T20:14:28.722Z,Product Security Checklist,KEEP,Current product security checklist.
factory/security/secrets-policy.md,672,2026-05-11T20:14:28.723Z,Secrets Policy,KEEP,Current secrets policy.
factory/security/security-baseline.md,753,2026-05-11T20:14:28.720Z,Security Baseline,KEEP,Current security baseline.
factory/security/supply-chain-policy.md,404,2026-05-11T20:14:28.719Z,Supply Chain Policy,KEEP,Current supply chain policy.
factory/templates/agent-evidence-record-template.md,242,2026-05-11T20:14:28.739Z,Agent evidence record template.,KEEP,Useful agent evidence template.
factory/templates/product-intake-template.md,387,2026-05-11T20:14:28.738Z,Product intake template.,REWRITE,Template is too thin for v0.9 mandatory intake.
factory/templates/release-checklist-template.md,348,2026-05-11T20:14:28.735Z,Release checklist template.,KEEP,Useful release checklist template.
factory/templates/ticket-template.md,424,2026-05-12T11:30:45.323Z,Ticket template.,REWRITE,Template lacks full v0.9 traceability fields.
factory/templates/tool-decision-record-template.md,256,2026-05-11T20:14:28.734Z,Tool decision template.,KEEP,Useful tool decision template.
factory/tool-registry.md,2313,2026-05-11T20:14:28.715Z,Factory tool registry.,KEEP,Current approved tool registry.
factory/tools/README.md,1053,2026-05-12T17:26:30.226Z,Factory tool documentation.,KEEP,Current factory tool reference.
